_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,imdb,imdb_worker_input,no_imdb,no_wikipedia,wikipedia,wikipedia_worker_input,birth_name,date_of_birth,date_of_death,first,gender,id,imdb_gold,last,middle,place_of_birth,place_of_death,url_to_imdb_main_name_page,url_to_official_celebrity_website,url_to_verified_twitter_account,url_to_wikipedia_entry,wikipedia_gold
84873965,6/23/07 22:33,TRUE,148772216,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0001642/,http://www.imdb.com/name/nm0001642/,FALSE,FALSE,http://en.wikipedia.org/wiki/Randy_Quaid/,http://en.wikipedia.org/wiki/Randy_Quaid,,Oct  1 1950 12:00AM,,Randy,M,1399,http://imdb.com/name/nm0001642/,Quaid,,"Houston, Texas",,,,,,http://en.wikipedia.org/wiki/Randy_Quaid/
84876036,6/23/07 22:33,TRUE,148772217,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0005035/,http://www.imdb.com/name/nm0005035/,FALSE,FALSE,http://en.wikipedia.org/wiki/Rachel_Hunter/,http://en.wikipedia.org/wiki/Rachel_Hunter,,Sep  9 1969 12:00AM,,Rachel,F,68589,http://imdb.com/name/nm0005035/,Hunter,,"Auckland, New Zealand",,,,,,http://en.wikipedia.org/wiki/Rachel_Hunter/
84875582,6/23/07 22:33,FALSE,148772218,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0000965/,http://www.imdb.com/name/nm0000965/,FALSE,FALSE,http://en.wikipedia.org/wiki/Danny_Boyle/,http://en.wikipedia.org/wiki/Danny_Boyle,,Oct 20 1956 12:00AM,,Danny,M,14876,http://imdb.com/name/nm0000965/,Boyle,,"Manchester, England",,,,,,http://en.wikipedia.org/wiki/Danny_Boyle/
84874377,6/23/07 22:33,FALSE,148772219,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0313534/,http://www.imdb.com/name/nm0313534/,FALSE,FALSE,http://en.wikipedia.org/wiki/Melissa_George/,http://en.wikipedia.org/wiki/Melissa_George,,Aug  6 1976 12:00AM,,Melissa,F,78282,,George,,"Perth, Australia",,,,,,
84873982,6/23/07 22:33,TRUE,148772220,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0405033/,http://www.imdb.com/name/nm0405033/,FALSE,FALSE,http://en.wikipedia.org/wiki/Alex_Hyde-White/,http://en.wikipedia.org/wiki/Alex_Hyde-White,,Jan 30 1959 12:00AM,,Alex,M,72954,http://imdb.com/name/nm0405033/,Hyde-White,,"London, England",,,,,,http://en.wikipedia.org/wiki/Alex_Hyde-White/
84875841,6/23/07 22:33,FALSE,148772221,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0570364/,http://www.imdb.com/name/nm0570364/,FALSE,FALSE,http://en.wikipedia.org/wiki/Joel_McHale/,http://en.wikipedia.org/wiki/Joel_McHale,,Nov 20 1971 12:00AM,,Joel,M,398613,,McHale,,"Rome, Italy",,,,,,
84874007,6/23/07 22:33,TRUE,148772222,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0176869/,http://www.imdb.com/name/nm0176869/,FALSE,FALSE,http://en.wikipedia.org/wiki/Steve_Coogan/,http://en.wikipedia.org/wiki/Steve_Coogan,,Oct 14 1965 12:00AM,,Steve,M,75720,http://imdb.com/name/nm0176869/,Coogan,,"Middleton, Manchester, England",,,,,,http://en.wikipedia.org/wiki/Steve_Coogan/
84874513,6/23/07 22:33,FALSE,148772223,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0000175/,http://www.imdb.com/name/nm0000175/,FALSE,FALSE,http://en.wikipedia.org/wiki/Stephen_King/,http://en.wikipedia.org/wiki/Stephen_King,,Sep 21 1947 12:00AM,,Stephen,M,926,,King,,"Portland, Maine",,,,,,
84873986,6/23/07 22:33,TRUE,148772382,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0917188/,http://www.imdb.com/name/nm0917188/,FALSE,FALSE,http://en.wikipedia.org/wiki/Chris_Wedge/,http://en.wikipedia.org/wiki/Chris_Wedge,,Mar 20 1957 12:00AM,,Chris,M,307240,http://imdb.com/name/nm0917188/,Wedge,,"Binghamton, New York",,,,,,http://en.wikipedia.org/wiki/Chris_Wedge/
84875679,6/23/07 22:33,FALSE,148772383,,6/23/07 22:24,FALSE,trial_pay,1,3133332,ROU,36,Timisoara,79.114.81.31,http://imdb.com/name/nm0642368/,http://www.imdb.com/name/nm0642368/,FALSE,FALSE,http://en.wikipedia.org/wiki/Terry_O%27Quinn/,http://en.wikipedia.org/wiki/Terry_O%27Quinn,,Jul 15 1952 12:00AM,,Terry,M,62035,,O'Quinn,,"Newberry, Michigan",,,,,,
